"filename", "language", "Python", "Markdown", "NGINX Conf", "HTML", "pip requirements", "Shell Script", "JavaScript", "CSS", "comment", "blank", "total"
"d:\ProjectA\ffmpeg-service\README.md", "Markdown", 0, 14, 0, 0, 0, 0, 0, 0, 0, 5, 19
"d:\ProjectA\ffmpeg-service\VideoFrameEncoder.py", "Python", 199, 0, 0, 0, 0, 0, 0, 0, 40, 57, 296
"d:\ProjectA\ffmpeg-service\ffmpeg-stream.conf", "NGINX Conf", 0, 0, 8, 0, 0, 0, 0, 0, 7, 3, 18
"d:\ProjectA\ffmpeg-service\ffmpeg-stream.sh", "Shell Script", 0, 0, 0, 0, 0, 16, 0, 0, 8, 6, 30
"d:\ProjectA\nginx\nginx.conf", "NGINX Conf", 0, 0, 77, 0, 0, 0, 0, 0, 18, 27, 122
"d:\ProjectA\scripts\import_sqlite.py", "Python", 48, 0, 0, 0, 0, 0, 0, 0, 19, 15, 82
"d:\ProjectA\web\README.md", "Markdown", 0, 161, 0, 0, 0, 0, 0, 0, 0, 91, 252
"d:\ProjectA\web\__init__.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"d:\ProjectA\web\api\__init__.py", "Python", 6, 0, 0, 0, 0, 0, 0, 0, 1, 1, 8
"d:\ProjectA\web\api\ai_connector.py", "Python", 79, 0, 0, 0, 0, 0, 0, 0, 30, 26, 135
"d:\ProjectA\web\api\alerts.py", "Python", 85, 0, 0, 0, 0, 0, 0, 0, 3, 9, 97
"d:\ProjectA\web\api\analysis.py", "Python", 168, 0, 0, 0, 0, 0, 0, 0, 25, 38, 231
"d:\ProjectA\web\api\auth.py", "Python", 100, 0, 0, 0, 0, 0, 0, 0, 11, 26, 137
"d:\ProjectA\web\api\cameras.py", "Python", 100, 0, 0, 0, 0, 0, 0, 0, 16, 28, 144
"d:\ProjectA\web\api\detection_api.py", "Python", 122, 0, 0, 0, 0, 0, 0, 0, 13, 28, 163
"d:\ProjectA\web\api\user_cameras.py", "Python", 148, 0, 0, 0, 0, 0, 0, 0, 11, 25, 184
"d:\ProjectA\web\app.py", "Python", 29, 0, 0, 0, 0, 0, 0, 0, 7, 8, 44
"d:\ProjectA\web\config.py", "Python", 20, 0, 0, 0, 0, 0, 0, 0, 2, 5, 27
"d:\ProjectA\web\extensions.py", "Python", 6, 0, 0, 0, 0, 0, 0, 0, 1, 1, 8
"d:\ProjectA\web\models\DetectionFrames.py", "Python", 38, 0, 0, 0, 0, 0, 0, 0, 2, 8, 48
"d:\ProjectA\web\models\DetectionService.py", "Python", 118, 0, 0, 0, 0, 0, 0, 0, 5, 21, 144
"d:\ProjectA\web\models\FaceAppearances.py", "Python", 51, 0, 0, 0, 0, 0, 0, 0, 2, 9, 62
