"filename", "language", "Python", "HTML", "CSS", "JavaScript", "comment", "blank", "total"
"d:\ProjectA\scripts\import_sqlite.py", "Python", -3, 0, 0, 0, 4, 0, 1
"d:\ProjectA\web\api\__init__.py", "Python", 1, 0, 0, 0, 0, -1, 0
"d:\ProjectA\web\api\detection_api.py", "Python", -27, 0, 0, 0, -4, -6, -37
"d:\ProjectA\web\api\person_trajectory_api.py", "Python", 177, 0, 0, 0, 24, 46, 247
"d:\ProjectA\web\app.py", "Python", 1, 0, 0, 0, 0, 0, 1
"d:\ProjectA\web\models\DetectionService.py", "Python", 255, 0, 0, 0, 31, 51, 337
"d:\ProjectA\web\models\PersonTrajectory.py", "Python", 42, 0, 0, 0, 3, 9, 54
"d:\ProjectA\web\models\VideoService.py", "Python", 441, 0, 0, 0, 70, 114, 625
"d:\ProjectA\web\routes\__init__.py", "Python", 0, 0, 0, 0, 0, 1, 1
"d:\ProjectA\web\routes\dashboard.py", "Python", 4, 0, 0, 0, 1, -1, 4
"d:\ProjectA\web\script\VideoFrameEncoder.py", "Python", 199, 0, 0, 0, 40, 57, 296
"d:\ProjectA\web\script\import_sqlite.py", "Python", 48, 0, 0, 0, 19, 15, 82
"d:\ProjectA\web\static\css\add-camera.css", "CSS", 0, 0, 346, 0, 9, 60, 415
"d:\ProjectA\web\static\css\monitor-detail.css", "CSS", 0, 0, 0, 0, 0, 2, 2
"d:\ProjectA\web\static\css\person_trajectory.css", "CSS", 0, 0, 535, 0, 20, 101, 656
"d:\ProjectA\web\static\js\person_trajectory.js", "JavaScript", 0, 0, 0, 538, 112, 110, 760
"d:\ProjectA\web\templates\add-camera.html", "HTML", 0, -356, 0, 0, 0, -60, -416
"d:\ProjectA\web\templates\analysis.html", "HTML", 0, 1, 0, 0, 0, 0, 1
"d:\ProjectA\web\templates\camera-management.html", "HTML", 0, 4, 0, 0, 0, 0, 4
"d:\ProjectA\web\templates\edit-camera.html", "HTML", 0, 4, 0, 0, 0, 0, 4
"d:\ProjectA\web\templates\monitor-detail.html", "HTML", 0, -4, 0, 0, 0, 0, -4
"d:\ProjectA\web\templates\person_trajectory.html", "HTML", 0, 203, 0, 0, 11, 10, 224
"d:\ProjectA\web\templates\profile.html", "HTML", 0, 1, 0, 0, 0, 0, 1
"Total", "-", 1138, -147, 881, 538, 340, 508, 3258
